v1,v2
ham,"Hey, are we meeting today?"
spam,"Congratulations! You have won a free iPhone. Click here to claim."
ham,"Please call me when you reach home."
spam,"URGENT! You have won ₹50,000 cash prize. Call now!"
ham,"Can you send me the assignment?"
spam,"Free entry in a weekly competition. Text WIN to 80086."
ham,"I'll be there in 10 minutes."
spam,"You have been selected for a free vacation. Reply YES."
ham,"Happy Birthday! Have a wonderful day."
spam,"Exclusive offer! Buy one get one free. Limited time."
ham,"Let's have lunch tomorrow."
spam,"Claim your reward now by clicking this link."
ham,"Where are you?"
spam,"You have won a lottery worth ₹10 lakh!"
ham,"See you in class tomorrow."
spam,"Congratulations! Your mobile number has been selected for a prize."
ham,"Don't forget our meeting at 3 PM."
spam,"Win cash instantly! Send WIN to 56789."
ham,"Good morning! Have a nice day."
spam,"Limited-time offer! Get a free gift voucher."